Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2014,3303906,Petrópolis - RJ,"1,889","75,2 Mil",R$ 136 Milhões,"R$ 1,81 Mil","0,792","0,149"
2014,3520509,Indaiatuba - SP,"3,045","73,5 Mil",R$ 206 Milhões,"R$ 2,8 Mil","0,726","-0,003"
2014,3131307,Ipatinga - MG,"1,926","72,6 Mil",R$ 135 Milhões,"R$ 1,85 Mil","0,845","0,127"
2014,4208906,Jaraguá do Sul - SC,"2,769","72,4 Mil",R$ 178 Milhões,"R$ 2,46 Mil","0,817","0,056"
2014,1500800,Ananindeua - PA,"1,808","71,5 Mil",R$ 107 Milhões,"R$ 1,49 Mil","0,813","0,157"
2014,4316907,Santa Maria - RS,"1,885","70,8 Mil",R$ 179 Milhões,"R$ 2,53 Mil","0,862","0,129"
2014,2933307,Vitória da Conquista - BA,"1,513","69,3 Mil",R$ 103 Milhões,"R$ 1,49 Mil","0,779","0,205"
2014,3541406,Presidente Prudente - SP,"1,803","69,1 Mil",R$ 134 Milhões,"R$ 1,94 Mil","0,762","0,173"
2014,2611101,Petrolina - PE,"1,431","68,6 Mil",R$ 112 Milhões,"R$ 1,63 Mil","0,838","0,182"
2014,4204608,Criciúma - SC,"2,188","68,6 Mil",R$ 139 Milhões,"R$ 2,02 Mil","0,752","0,122"
2014,3529401,Mauá - SP,"2,912",67 Mil,R$ 164 Milhões,"R$ 2,45 Mil","0,771","0,029"
2014,3543907,Rio Claro - SP,"2,422","66,8 Mil",R$ 153 Milhões,"R$ 2,29 Mil","0,801","0,081"
2014,3547304,Santana de Parnaíba - SP,"3,012","66,8 Mil",R$ 165 Milhões,"R$ 2,47 Mil","0,746","0,022"
2014,3529005,Marília - SP,"1,866","65,8 Mil",R$ 134 Milhões,"R$ 2,04 Mil","0,812","0,144"
2014,5003702,Dourados - MS,"1,271","65,2 Mil",R$ 130 Milhões,"R$ 1,99 Mil","0,844","0,188"
2014,2408003,Mossoró - RN,"2,122","65,1 Mil",R$ 127 Milhões,"R$ 1,94 Mil","0,829","0,124"
2014,3127701,Governador Valadares - MG,"1,659","64,2 Mil","R$ 98,1 Milhões","R$ 1,53 Mil","0,754","0,198"
