ano,popul,codigo_ibge
2012,19891,110014
2013,21427,110014
2014,21511,110014
2015,21592,110014
2016,21670,110014
2017,21747,110014
2018,20459,110014
2019,20474,110014
2020,20489,110014
2021,20504,110014
2022,17355,110014
1991,84575,110015
1992,55496,110015
1993,57490,110015
1994,59613,110015
1995,61684,110015
1996,52261,110015
1997,40581,110015
1998,40508,110015
1999,40443,110015
2000,40884,110015
2001,40836,110015
2002,40841,110015
2003,40822,110015
2004,40735,110015
2005,40757,110015
2006,40735,110015
2007,36040,110015
2008,37142,110015
2009,36725,110015
2010,37928,110015
2011,37701,110015
2012,37482,110015
2013,40099,110015
2014,40010,110015
2015,39924,110015
2016,39840,110015
2017,39759,110015
2018,36340,110015
2019,36035,110015
2020,35737,110015
2021,35445,110015
2022,36753,110015
1991,48758,110018
1992,51784,110018
1993,54273,110018
1994,56778,110018
1995,59220,110018
1996,48260,110018
1997,31819,110018
1998,31761,110018
1999,31710,110018
2000,31752,110018
2001,31685,110018
2002,31656,110018
2003,31612,110018
2004,31416,110018
2005,31466,110018
2006,31415,110018
2007,32893,110018
2008,33803,110018
2009,33984,110018
2010,33822,110018
2011,33981,110018
2012,34135,110018
2013,36939,110018
2014,37230,110018
2015,37512,110018
2016,37786,110018
2017,38051,110018
2018,36434,110018
2019,36660,110018
2020,36881,110018
2021,37098,110018
2022,37464,110018
1991,287289,110020
1992,284576,110020
1993,296770,110020
1994,307923,110020
1995,318859,110020
1996,294227,110020
1997,299894,110020
1998,304996,110020
1999,309750,110020
2000,334661,110020
2001,342264,110020
2002,347844,110020
2003,353961,110020
2004,380884,110020
2005,373917,110020
2006,380974,110020
2007,369345,110020
2008,379186,110020
2009,382829,110020
2010,428527,110020
2011,435732,110020
2012,442701,110020
2013,484992,110020
2014,494013,110020
2015,502748,110020
2016,511219,110020
2017,519436,110020
2018,519531,110020
2019,529544,110020
2020,539354,110020
2021,548952,110020
2022,461748,110020
1991,30063,110025
1992,31981,110025
1993,33559,110025
1994,32488,110025
1995,33920,110025
1996,28490,110025
1997,28717,110025
1998,28932,110025
1999,29127,110025
2000,26365,110025
2001,26164,110025
2002,26065,110025
2003,25926,110025
2004,25314,110025
2005,25473,110025
2006,25313,110025
2007,22197,110025
2008,22896,110025
2009,22519,110025
2010,22319,110025
2011,22008,110025
2012,21709,110025
2013,23017,110025
2014,22783,110025
2015,22557,110025
2016,22337,110025
2017,22124,110025
2018,19409,110025
2019,18986,110025
2020,18571,110025
2021,18165,110025
2022,19316,110025
1992,4830,110026
1993,5219,110026
1994,5471,110026
1995,5715,110026
1996,6196,110026
1997,4431,110026
1998,2963,110026
1999,3077,110026
2000,2937,110026
2001,3054,110026
2002,3127,110026
2003,3215,110026
2004,3602,110026
2005,3501,110026
2006,3603,110026
2007,3174,110026
2008,3260,110026
2009,3290,110026
2010,3316,110026
2011,3345,110026
2012,3374,110026
2013,3666,110026
2014,3709,110026
2015,3750,110026
2016,3790,110026
2017,3829,110026
2018,3723,110026
2019,3764,110026
2020,3804,110026
2021,3843,110026
2022,3476,110026
1991,59751,110028
1992,46703,110028
1993,48940,110028
1994,51198,110028
1995,53399,110028
1996,43930,110028
1997,43848,110028
1998,43770,110028
1999,43699,110028
2000,47382,110028
2001,47693,110028
2002,48101,110028
2003,48434,110028
2004,49902,110028
2005,49522,110028
2006,49907,110028
2007,48894,110028
2008,50249,110028
2009,50499,110028
2010,50648,110028
2011,50899,110028
2012,51142,110028
2013,55357,110028
2014,55807,110028
2015,56242,110028
2016,56664,110028
2017,57074,110028
2018,54702,110028
2019,55058,110028
2020,55407,110028
2021,55748,110028
2022,57180,110028
1991,12328,110029
1992,12848,110029
1993,13465,110029
1994,13981,110029
1995,14485,110029
1996,11234,110029
1997,10995,110029
1998,10768,110029
1999,10563,110029
2000,11603,110029
2001,11512,110029
2002,11450,110029
2003,11380,110029
2004,11068,110029
2005,11149,110029
2006,11067,110029
2007,9264,110029
2008,9566,110029
2009,9348,110029
2010,8886,110029
2011,8677,110029
2012,8476,110029
2013,8887,110029
2014,8706,110029
2015,8532,110029
2016,8362,110029
2017,8198,110029
2018,6781,110029
2019,6495,110029
2020,6216,110029
2021,5942,110029
2022,7394,110029
1991,39262,110030
1992,40249,110030
1993,41452,110030
1994,42664,110030
1995,43844,110030
1996,44580,110030
1997,44010,110030
1998,45300,110030
1999,46482,110030
2000,53598,110030
2001,55513,110030
2002,57074,110030
2003,58687,110030
2004,65785,110030
2005,63947,110030
2006,65807,110030
2007,66746,110030
2008,68405,110030
2009,69866,110030
2010,76202,110030
2011,77937,110030
2012,79616,110030
2013,87727,110030
2014,89797,110030
2015,91801,110030
2016,93745,110030
2017,95630,110030
2018,97448,110030
2019,99854,110030
2020,102211,110030
2021,104517,110030
2022,95599,110030
1991,19458,110032
1992,15050,110032
1993,15932,110032
1994,16826,110032
1995,17696,110032
1996,18868,110032
1997,19445,110032
1998,22953,110032
1999,24756,110032
2000,23874,110032
2001,25065,110032
2002,25959,110032
2003,26927,110032
2004,31185,110032
2005,30082,110032
2006,31198,110032
2007,22622,110032
2008,23283,110032
2009,23201,110032
2010,21828,110032
2011,21878,110032
2012,21927,110032
2013,23668,110032
2014,23803,110032
2015,23933,110032
2016,24059,110032
2017,24181,110032
2018,22931,110032
2019,23005,110032
2020,23077,110032
2021,23147,110032
2022,21612,110032
1991,7250,110033
1992,7041,110033
1993,6882,110033
1994,6716,110033
1995,6553,110033
1996,13644,110033
1997,14848,110033
1998,15986,110033
1999,17020,110033
2000,14778,110033
2001,15692,110033
2002,16362,110033
2003,17098,110033
2004,20333,110033
2005,19496,110033
2006,20343,110033
2007,21162,110033
2008,21650,110033
2009,22337,110033
2010,22546,110033
2011,23142,110033
2012,23719,110033
2013,26227,110033
2014,26925,110033
2015,27600,110033
2016,28255,110033
2017,28891,110033
2018,29757,110033
2019,30583,110033
2020,31392,110033
2021,32184,110033
2022,25452,110033
1991,21045,110034
1992,21774,110034
1993,23073,110034
1994,24368,110034
1995,25629,110034
1996,19626,110034
1997,19373,110034
1998,19127,110034
1999,18906,110034
2000,19832,110034
2001,19770,110034
2002,19750,110034
2003,19711,110034
2004,19543,110034
2005,19586,110034
2006,19542,110034
2007,16485,110034
2008,17009,110034
2009,17127,110034
2010,16853,110034
2011,16624,110034
2012,16404,110034
2013,17399,110034
2014,17228,110034
2015,17063,110034
2016,16902,110034
2017,16747,110034
2018,14722,110034
2019,14411,110034
2020,14106,110034
2021,13807,110034
2022,13092,110034
1996,,110037
1997,9678,110037
1998,9596,110037
1999,9682,110037
2000,13070,110037
2001,13153,110037
2002,13490,110037
2003,13852,110037
2004,15449,110037
2005,15035,110037
2006,15454,110037
2007,11615,110037
2008,11962,110037
2009,11875,110037
2010,12816,110037
2011,12824,110037
2012,12833,110037
2013,13827,110037
2014,13884,110037
2015,13940,110037
2016,13993,110037
2017,14045,110037
2018,13227,110037
2019,13241,110037
2020,13255,110037
2021,13268,110037
2022,13023,110037
1992,8060,110040
1993,9478,110040
1994,10010,110040
1995,10458,110040
1996,10723,110040
1997,11166,110040
1998,11585,110040
1999,11966,110040
2000,13118,110040
2001,13693,110040
2002,14084,110040
2003,14532,110040
2004,16504,110040
2005,15993,110040
2006,16510,110040
2007,16758,110040
2008,17169,110040
2009,17569,110040
2010,17135,110040
2011,17443,110040
2012,17742,110040
2013,19459,110040
2014,19841,110040
2015,20210,110040
2016,20569,110040
2017,20916,110040
2018,20999,110040
2019,21428,110040
2020,21847,110040
2021,22258,110040
2022,17140,110040
1996,,110045
1997,10357,110045
1998,11140,110045
1999,12013,110045
2000,25668,110045
2001,28132,110045
2002,30521,110045
2003,32774,110045
2004,42686,110045
2005,40120,110045
2006,42717,110045
2007,33072,110045
2008,33879,110045
2009,34693,110045
2010,32383,110045
2011,32898,110045
2012,33397,110045
2013,36555,110045
2014,37207,110045
2015,37838,110045
2016,38450,110045
2017,39044,110045
2018,38937,110045
2019,39654,110045
2020,40356,110045
2021,41043,110045
2022,28178,110045
1992,12119,110050
1993,12699,110050
1994,13285,110050
1995,13858,110050
1996,11050,110050
1997,10814,110050
1998,10592,110050
1999,10390,110050
2000,12276,110050
2001,12367,110050
2002,12458,110050
2003,12543,110050
